Date,StatArbTradingSignal,ClosePrice,FinalStatArbTradingSignal,Trades,Position,PnL
2013-12-31,0.0,0.9394081830978394,0.0,0,0,0.0
2014-01-01,0.0,0.9416816830635071,0.0,0,0,0.0
2014-01-02,-0.0005424043408700247,0.9394522905349731,0.0010358536450323218,0,0,0.0
2014-01-03,-0.00048334527063778436,0.9372861385345459,-0.00109810506815482,0,0,0.0
2014-01-06,0.0020918849657296785,0.9406895041465759,0.002996971125532543,0,0,0.0
2014-01-07,0.010631398933903552,0.938007116317749,-0.0016801645151363106,0,0,0.0
2014-01-08,-0.009451558112137323,0.9282465577125549,-0.005077412611900867,0,0,0.0
2014-01-09,-0.004771361583294484,0.9240180253982544,-0.005093991069926346,0,0,0.0
2014-01-10,0.0028418210065654648,0.9221009016036987,8.335527151061713e-05,0,0,0.0
2014-01-13,-0.02451616849166279,0.9170862436294556,-0.026924933369153498,-1,-1000000,0.0
2014-01-14,-0.030122341729952685,0.918948769569397,-0.017639700567958452,0,-1000000,-1862.5259399414062
2014-01-15,-0.01165689255175949,0.9134755730628967,0.006071666808783561,0,-1000000,3610.670566558838
2014-01-16,-0.0018401795473727799,0.9133921265602112,0.01821602290552527,1,0,3694.1170692443848
2014-01-17,-0.0064946988965137835,0.9147457480430603,-0.009079592003818419,0,0,3694.1170692443848
2014-01-20,0.02407076103767171,0.9119926691055298,0.001582797530140421,0,0,3694.1170692443848
2014-01-21,-0.0007753983378134578,0.913041889667511,-0.005910493778536421,0,0,3694.1170692443848
2014-01-22,0.0010238513626027387,0.9117432832717896,0.0008278800228788401,0,0,3694.1170692443848
2014-01-23,0.010817617818094259,0.9007385969161987,-0.018771557952588686,-1,-1000000,3694.1170692443848
2014-01-24,0.020372405508494396,0.8998551368713379,-0.02122813337031879,0,-1000000,4577.577114105225
2014-01-27,0.09389071860414593,0.90399569272995,-0.017156467770546333,1,0,437.02125549316406
2014-01-28,-4.168948551316766,0.8997175097465515,-0.015220583651412196,-1,-1000000,437.02125549316406
2014-01-29,-0.024890313436881084,0.8971828818321228,0.001359033973626177,0,-1000000,2971.649169921875
2014-01-30,-0.06299854694773345,0.8943743705749512,-0.006933786221334234,1,0,5780.160427093506
2014-01-31,-0.07073744300031376,0.8963866829872131,0.004042055517629638,0,0,5780.160427093506
2014-02-03,-0.13038774292741692,0.8990946412086487,0.002001295256475746,0,0,5780.160427093506
2014-02-04,-0.2611150109381149,0.9003331065177917,-0.004766705688740529,0,0,5780.160427093506
2014-02-05,-0.0636003182077311,0.9022827744483948,0.010297716904479837,1,1000000,5780.160427093506
2014-02-06,-0.0776372324085051,0.9027307033538818,0.008225348659797177,0,1000000,6228.089332580566
2014-02-07,-0.05189516520963444,0.9034321904182434,0.005686306353251574,-1,0,6929.576396942139
2014-02-10,0.050561620540436905,0.906051516532898,0.00010028458254398719,0,0,6929.576396942139
2014-02-11,0.029579262581525403,0.9044862389564514,-0.004813835803574229,0,0,6929.576396942139
2014-02-12,0.05878477928054364,0.9083972573280334,-0.0005673215765246276,0,0,6929.576396942139
2014-02-13,0.049598471010486256,0.9095953106880188,-0.0031023611596239435,0,0,6929.576396942139
2014-02-14,0.045943668761655385,0.9109708070755005,0.00811278330922139,0,0,6929.576396942139
2014-02-17,0.0453567065207201,0.9113277792930603,0.006158727722688659,0,0,6929.576396942139
2014-02-18,0.031022888876759913,0.9127418398857117,0.026522981521974978,1,1000000,6929.576396942139
2014-02-19,0.007489805802326461,0.9131252765655518,0.022402780150999422,0,1000000,7313.013076782227
2014-02-20,0.007355362192297123,0.9033423662185669,0.024097093467775756,-1,0,-2469.8972702026367
2014-02-21,0.02226265297486162,0.9006006717681885,0.026501701343558805,1,1000000,-2469.8972702026367
2014-02-24,0.011635613831657846,0.8999280333518982,0.02450133407784711,0,1000000,-3142.53568649292
2014-02-25,0.02541244973977061,0.9042572379112244,0.023257288772203972,0,1000000,1186.668872833252
2014-02-26,0.024440659493715725,0.9022095203399658,0.02301814034164174,-1,0,-861.048698425293
2014-02-27,0.01986915862718152,0.897988498210907,0.018637058755024118,1,1000000,-861.048698425293
2014-02-28,0.03633976352293762,0.8990380167961121,0.02140564656105475,0,1000000,188.46988677978516
2014-03-03,0.025350603713416395,0.9039629697799683,0.01658784860355326,-1,0,5113.422870635986
2014-03-04,0.021864891167014518,0.9025596976280212,0.01074187872439261,1,1000000,5113.422870635986
2014-03-05,0.02823132534812768,0.9018758535385132,0.013355315267299907,0,1000000,4429.57878112793
2014-03-06,0.02755051055234872,0.9067662358283997,0.010710040933460493,0,1000000,9319.961071014404
2014-03-07,0.03810399556964604,0.9102742671966553,0.025026366570199778,-1,0,12827.99243927002
2014-03-10,0.04207665302716539,0.9018433690071106,0.030860971453421995,1,1000000,12827.99243927002
2014-03-11,0.039361189457972436,0.8997417092323303,0.026039276846527213,0,1000000,10726.332664489746
2014-03-12,0.03165478874679328,0.9002034664154053,0.01742360357199724,0,1000000,11188.089847564697
2014-03-13,0.04884306479834135,0.8995475172996521,0.023345124119524167,0,1000000,10532.140731811523
2014-03-14,0.04530215584713946,0.9027470350265503,0.013766307763950207,0,1000000,13731.658458709717
2014-03-17,0.042511484064804775,0.9013312458992004,0.015171066995486501,-1,0,12315.869331359863
2014-03-18,0.04056667377767715,0.904322624206543,0.01545491857597389,1,1000000,12315.869331359863
2014-03-19,0.05666286867859887,0.8986502289772034,0.020289511754947986,0,1000000,6643.474102020264
2014-03-20,0.0393714209003411,0.8892446160316467,0.014721473114623781,1,2000000,-2762.138843536377
